player_id,name,skill_rating,volatility,birdie_boost,bogey_avoidance,par3_skill,par4_skill,par5_skill,consistency,aggression
P001,John Champion,95,0.3,0.1,0.15,2,0,3,0.15,0.25
P002,Sarah Eagle,92,0.25,0.12,0.1,3,1,0,0.25,0.20
P003,Mike Steady,90,0.2,0.05,0.2,0,2,1,0.40,0.10
P004,Lisa Birdie,85,0.35,0.15,0.05,-1,1,5,0.05,0.45
P005,Tom Reliable,83,0.25,0.08,0.12,1,3,-1,0.30,0.15
P006,Emma Power,82,0.4,0.1,0.05,0,-2,8,0.10,0.50
P007,David Clutch,80,0.28,0.09,0.11,4,0,-1,0.20,0.30
P008,Rachel Steady,75,0.3,0.05,0.08,0,1,2,0.35,0.10
P009,Chris Average,72,0.35,0.06,0.06,0,0,0,0.15,0.20
P010,Kelly Consistent,70,0.25,0.04,0.09,1,1,0,0.45,0.05
P011,Mark Swinger,68,0.45,0.08,0.02,-2,0,4,0.05,0.60
P012,Anna Rookie,65,0.4,0.05,0.05,0,-1,1,0.10,0.25
P013,Brian Hopeful,63,0.38,0.04,0.06,-1,1,2,0.20,0.20
P014,Sophie Grinder,60,0.32,0.03,0.07,1,0,-1,0.30,0.10
P015,Jake Underdog,55,0.5,0.06,0.03,-3,-1,5,0.05,0.55
P016,Megan Wildcard,52,0.55,0.07,0.02,-2,1,3,0.02,0.65
